population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,667.20923492514,772.1938103792701,541.34598097753
1,All Population,5,Prevalence,88,Malta,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,717.4062332557401,830.4242142900599,605.50426071582
1,All Population,5,Prevalence,48,Hungary,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1994,762.09336166101,879.07929937,649.3422085393
1,All Population,5,Prevalence,80,France,3,Both,22,All ages,294,All causes,3,Rate,1994,94132.2748979445,94861.92939714801,93433.0527426702
1,All Population,5,Prevalence,47,Czechia,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,1995,716.50831802814,831.64208478328,600.57210254799
1,All Population,5,Prevalence,48,Hungary,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,336.77842761076,412.26491367317,263.85083598340003
1,All Population,5,Prevalence,48,Hungary,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,3093.95457061477,3560.15150210766,2728.88787390013
1,All Population,5,Prevalence,48,Hungary,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,633.45155050028,735.52267648777,552.13528488358
1,All Population,5,Prevalence,48,Hungary,3,Both,22,All ages,567,Depressive disorders,3,Rate,1994,3020.50180359892,3479.1352524104905,2548.68650244991
1,All Population,5,Prevalence,48,Hungary,3,Both,22,All ages,570,Bipolar disorder,3,Rate,1994,531.05549938729,661.73269877754,421.10592140345994
1,All Population,5,Prevalence,48,Hungary,3,Both,22,All ages,571,Anxiety disorders,3,Rate,1994,4019.18493523841,4954.01698762369,3372.79323721651
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,299.44067901536,366.87519823924004,234.07183516251
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,1742.23343003542,2202.68061915377,1371.16274497944
1,All Population,5,Prevalence,77,Cyprus,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,638.9245926109301,729.1906018252,552.25492502294
1,All Population,5,Prevalence,80,France,3,Both,22,All ages,559,Schizophrenia,3,Rate,1994,325.85180520391003,395.43655613688003,257.17761167494996
1,All Population,5,Prevalence,80,France,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1994,2474.81544336688,2905.55633083775,2117.52780919884
1,All Population,5,Prevalence,80,France,3,Both,22,All ages,561,Drug use disorders,3,Rate,1994,958.4097267574299,1086.1127660568,842.7289974088001
